Name,Specialization,Experience
Dr Alok Ranjan,Neurosurgery,28 years exp
Dr A G K Gokhale,"Cardiothoracic & Vascular Surgery, Transplant Surgery",32 years exp
Dr K J Reddy,Orthopaedics,33 years exp
Dr P Vijay Anand Reddy,"Radiation Oncology, Medical Oncology",30 years exp
Dr Jayesh Prajapati,Cardiology,19 years exp
Dr Pradeep Kocheeppan,Orthopaedics,18 years exp
Dr Rahul Puri,Orthopaedics,10 years exp
Dr Lakshman Khiria,"Surgical Gastroenterology, Transplant Surgery",14 years exp
Dr Anshul Warman,Dermatology,10 years exp
Dr Naresh Babu,"General Surgery, General Surgery & Laproscopic Surgery",18 years exp
Dr Hariprasad V S,Pulmonology,10 years exp
Dr Apurva Shah,"Gastroenterology, Transplant Surgery",7 years exp
Dr Maharshi Desai,Critical Care,12 years exp
Dr Manjulata Anchalia,General Surgery,37 years exp
Dr Kirty Nahar,Obstetrics & Gynecology,21 years exp
Dr Kavita Parihar,"Nephrology, Transplant Surgery",26 years exp
Dr Haresh Patel,"Nephrology, Transplant Surgery",16 years exp
Dr Manoj Gumber,"Nephrology, Transplant Surgery",17 years exp
Dr Deepak Malhotra,Neurosurgery,14 years exp
Dr Chirag A Shah,Haemato Oncology & Bmt,25 years exp
Dr Akash Shah,Oncology,5 years exp
Dr Jay Prakash Neema,Radiation Oncology,30 years exp
Dr Chirag Amin,Radiation Oncology,10 years exp
Dr Kashmira Jhala,Pulmonology,14 years exp
Dr Kunal Aterkar,Urology,5 years exp
Dr A Anitha,Nephrology,16 years exp
Dr A D Suri,Nephrology,22 years exp
Dr A G K Gokhale,"Cardiothoracic & Vascular Surgery, Transplant Surgery",32 years exp
Dr A Goutham Rao,Medical Oncology,4 years exp
Dr A Jayavelu,Neurology,21 years exp
Dr A K Bardhan,Cardiology,30 years exp
Dr A Mohan Krishna,Orthopaedics,14 years exp
Dr A Navaladi Shankar,Orthopaedics,22 years exp
Dr A P Prem,General Surgery,25 years exp
Dr A P Singh,Ent,14 years exp
Dr A P Subash Kumar,Breast Surgery,35 years exp
Dr A Praveen,Oncology,5 years exp
Dr A R Gayathri Devi,"Respiratory Medicine, Pulmonology",25 years exp
Dr A S Prakash,General & Lap Surgery,5 years exp
Dr A SANTOSH SRIRAM,Neurology,6 years exp
Dr A Sreenivas Kumar,"Cardiology, Transplant Surgery",20 years exp
Dr A Sudha,Ent,19 years exp
Dr A V Anand,Paediatric Orthopedic,6 years exp
Dr A Venkat Reddy,Neurology,8 years exp
Dr Aamina Nahid,Ent,4 years exp
Dr Aanchal Mittal,Ent,7 years exp
Dr Aanchal Sablok,Fetal Medicine,8 years exp
Dr Aarthi radhika Inuganti,Psychology,25 years exp
Dr Aashish K Bansal,Opthalmology,30 years exp
Dr Aashish Shah,"General Surgery & Laproscopic Surgery, Transplant Surgery",27 years exp
